"Organ","OR (95% CI)","FDR"
"Adipose","2.09 (1.76-2.50)",9.94413550845032e-16
"Brain","2.29 (1.89-2.78)",3.63160864218196e-16
"Cardiovascular","2.14 (1.82-2.53)",1.54689578429488e-18
"Endocrine","1.92 (1.58-2.34)",1.17156234345789e-10
"Gastrointestinal","1.86 (1.53-2.25)",3.67079076490706e-10
"Immune","1.92 (1.62-2.28)",3.09283708782628e-13
"Kidney and Bladder","1.94 (1.60-2.35)",2.34419082444206e-11
"Liver","2.15 (1.78-2.61)",2.06846520454354e-14
"Lung","1.79 (1.48-2.18)",4.76969018045086e-09
"Muscle","1.68 (1.18-2.38)",0.00367736583124439
"Nerve","2.24 (1.80-2.79)",1.0640385070039e-12
"Ovary","2.11 (1.57-2.84)",8.69562085622822e-07
"Pancreas","1.94 (1.56-2.42)",2.65794512872798e-09
"Prostate","1.81 (1.47-2.23)",3.45198270800184e-08
"Skin","1.83 (1.54-2.17)",8.57140771168739e-12
