"Organ","OR (95% CI)","FDR"
"Adipose","1.29 (1.14-1.46)",5.90898475603556e-05
"Brain","1.36 (1.21-1.53)",8.6789376433674e-07
"Cardiovascular","1.43 (1.29-1.59)",1.25740905685541e-10
"Endocrine","1.49 (1.33-1.67)",3.98567982921115e-11
"Gastrointestinal","1.42 (1.26-1.61)",7.01277985866204e-08
"Immune","1.36 (1.22-1.51)",8.57468790389576e-08
"Kidney and Bladder","1.42 (1.27-1.59)",6.81771246101357e-09
"Liver","1.31 (1.17-1.47)",6.32413486657306e-06
"Lung","1.30 (1.15-1.47)",3.28908547481986e-05
"Muscle","1.22 (1.07-1.39)",0.00358793778470433
"Nerve","1.33 (1.18-1.51)",6.80472251647717e-06
"Ovary","1.42 (1.20-1.68)",6.95764026651555e-05
"Pancreas","1.46 (1.31-1.63)",3.98567982921115e-11
"Prostate","1.24 (1.06-1.44)",0.00729497232082323
"Skin","1.15 (1.02-1.29)",0.0267194030322305
