"Organ","OR (95% CI)","FDR"
"Adipose","1.25 (0.98-1.58)",0.193407852571876
"Brain","1.18 (0.93-1.50)",0.418345234175019
"Cardiovascular","1.01 (0.78-1.30)",0.951614212927149
"Endocrine","1.02 (0.78-1.33)",0.951614212927149
"Gastrointestinal","1.37 (1.16-1.63)",0.00430963066609184
"Immune","1.11 (0.88-1.39)",0.684552036875315
"Kidney and Bladder","1.09 (0.84-1.41)",0.721096945444857
"Liver","1.11 (0.88-1.40)",0.684552036875315
"Lung","1.28 (0.98-1.68)",0.193407852571876
"Muscle","1.07 (0.88-1.31)",0.721096945444857
"Nerve","0.99 (0.77-1.26)",0.951614212927149
"Ovary","NA (NA-NA)",NA
"Pancreas","1.06 (0.83-1.37)",0.803488283572559
"Prostate","1.32 (1.06-1.65)",0.101448309284347
"Skin","1.29 (1.03-1.63)",0.138596922894607
