"Organ","OR (95% CI)","FDR"
"Adipose","1.36 (1.18-1.58)",0.000146736646089602
"Brain","1.37 (1.14-1.63)",0.00136579258256116
"Cardiovascular","1.41 (1.22-1.63)",3.8593912561607e-05
"Endocrine","1.28 (1.09-1.50)",0.00515704734060575
"Gastrointestinal","1.38 (1.15-1.66)",0.00136579258256116
"Immune","1.35 (1.16-1.58)",0.000437257490280732
"Kidney and Bladder","1.19 (1.00-1.42)",0.063382504729998
"Liver","1.35 (1.16-1.57)",0.000305022814036412
"Lung","1.17 (1.01-1.36)",0.0600524936267891
"Muscle","1.14 (1.00-1.31)",0.063382504729998
"Nerve","1.38 (1.19-1.60)",0.000146736646089602
"Ovary","1.56 (1.19-2.05)",0.00253736295820074
"Pancreas","1.18 (0.99-1.39)",0.0679799102991017
"Prostate","1.06 (0.87-1.29)",0.592275420410252
"Skin","1.04 (0.89-1.22)",0.627209810901792
