"Organ","OR (95% CI)","FDR"
"Adipose","1.23 (0.99-1.53)",0.0882796455364356
"Brain","1.42 (1.10-1.82)",0.0138998967468549
"Cardiovascular","1.54 (1.26-1.88)",0.000277503948608274
"Endocrine","1.48 (1.16-1.89)",0.00500289238029061
"Gastrointestinal","1.44 (1.12-1.85)",0.00984290539086075
"Immune","1.61 (1.28-2.02)",0.000277503948608274
"Kidney and Bladder","1.70 (1.32-2.21)",0.000277503948608274
"Liver","1.25 (0.97-1.61)",0.10353043795939
"Lung","1.19 (0.94-1.50)",0.161153847508224
"Muscle","1.24 (1.05-1.46)",0.0204923161477372
"Nerve","1.51 (1.18-1.94)",0.00351194775847591
"Ovary","1.14 (0.71-1.84)",0.583130491193363
"Pancreas","1.35 (1.01-1.79)",0.0617246260757716
"Prostate","1.24 (0.87-1.75)",0.247142727127777
"Skin","1.41 (1.05-1.90)",0.0393624994562318
