"Organ","OR (95% CI)","FDR"
"Adipose","1.49 (1.01-2.18)",0.33269028359257
"Brain","1.25 (0.87-1.79)",0.386212536866921
"Cardiovascular","1.32 (0.91-1.91)",0.356828423459409
"Endocrine","1.09 (0.79-1.52)",0.753179513407967
"Gastrointestinal","1.28 (0.90-1.80)",0.356828423459409
"Immune","1.09 (0.81-1.47)",0.753179513407967
"Kidney and Bladder","1.03 (0.74-1.45)",0.846390143446554
"Liver","1.28 (0.93-1.77)",0.356828423459409
"Lung","1.38 (0.95-2.01)",0.356828423459409
"Muscle","1.29 (0.86-1.92)",0.386212536866921
"Nerve","1.51 (1.01-2.25)",0.33269028359257
"Ovary","0.93 (0.56-1.54)",0.826872273221149
"Pancreas","1.21 (0.85-1.74)",0.427985084977015
"Prostate","1.57 (0.83-2.95)",0.356828423459409
"Skin","1.06 (0.76-1.46)",0.826872273221149
