"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.13 (-0.18--0.08)",3.85907285762836e-07
"Brain","0.01 (-0.04-0.06)",0.788621626993437
"Cardiovascular","-0.07 (-0.12--0.03)",0.0055051077648145
"Endocrine","-0.14 (-0.19--0.10)",1.05801361112539e-09
"Gastrointestinal","-0.13 (-0.17--0.08)",6.7514644308791e-08
"Immune","0.01 (-0.03-0.06)",0.64941310352398
"Kidney_urinary","-0.07 (-0.12--0.02)",0.00700232602049058
"Liver","-0.01 (-0.06-0.03)",0.666002926116484
"Lung","-0.16 (-0.21--0.11)",7.35831550107833e-08
"Muscle","0.08 (0.04-0.12)",0.000514009461324138
"Nerve","-0.10 (-0.15--0.06)",3.34053606157036e-05
"Ovary","-0.11 (-0.16--0.06)",3.34053606157036e-05
"Pancreas","-0.11 (-0.15--0.06)",2.15488344234741e-05
"Skin","-0.00 (-0.05-0.05)",0.979742058088456
