"Organ","Effect Size (95% CI)","FDR"
"Adipose","1.06 (0.99-1.15)",0.129620282139036
"Brain","1.12 (1.04-1.20)",0.00288749324406348
"Cardiovascular","1.20 (1.11-1.29)",9.0607152948666e-06
"Endocrine","1.33 (1.22-1.45)",1.11744362853306e-09
"Gastrointestinal","1.42 (1.32-1.52)",2.79352202916533e-20
"Immune","1.17 (1.09-1.26)",0.000147417889914195
"Kidney_urinary","1.45 (1.33-1.58)",4.28972330439895e-17
"Liver","1.09 (1.02-1.17)",0.0184251729563983
"Lung","1.29 (1.18-1.41)",3.41236895381325e-07
"Muscle","0.94 (0.88-1.00)",0.0635563860980011
"Nerve","1.13 (1.06-1.22)",0.00144495316427802
"Ovary","1.01 (0.92-1.10)",0.924061495986465
"Pancreas","1.10 (1.03-1.18)",0.00762011423990139
"Prostate","0.84 (0.75-0.93)",0.00248315315776195
"Skin","0.99 (0.92-1.05)",0.736842471663932
