"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.94 (0.84-1.05)",0.339144581454513
"Brain","0.87 (0.78-0.97)",0.0173878809419013
"Cardiovascular","0.84 (0.76-0.94)",0.00461171298945059
"Endocrine","0.92 (0.82-1.03)",0.211122288991533
"Gastrointestinal","0.82 (0.74-0.91)",0.000686893886130344
"Immune","0.93 (0.83-1.05)",0.322010316715145
"Kidney_urinary","0.82 (0.73-0.92)",0.0020165017702168
"Liver","0.82 (0.73-0.92)",0.00101559487809076
"Lung","0.84 (0.75-0.94)",0.00424594892140379
"Muscle","0.87 (0.78-0.97)",0.0215568696894405
"Nerve","0.80 (0.71-0.90)",0.000309482793605781
"Ovary","0.83 (0.73-0.95)",0.00963696688599043
"Pancreas","0.95 (0.85-1.06)",0.39484210544591
"Skin","0.87 (0.78-0.97)",0.0143673460783343
