"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.08 (0.03-0.13)",0.00578380964285133
"Brain","0.09 (0.04-0.13)",0.000599283605716584
"Cardiovascular","0.12 (0.07-0.18)",9.71212209164071e-05
"Endocrine","0.07 (0.02-0.13)",0.0127793092448316
"Gastrointestinal","0.09 (0.05-0.14)",0.000557886775602942
"Immune","0.12 (0.07-0.17)",5.38542059372718e-06
"Kidney_urinary","0.15 (0.10-0.21)",2.93347976102787e-07
"Liver","0.08 (0.03-0.13)",0.00369089654813963
"Lung","0.13 (0.08-0.18)",1.0348729641611e-06
"Muscle","0.03 (-0.02-0.07)",0.345266575125747
"Nerve","0.04 (-0.01-0.09)",0.144362382475512
"Ovary","0.09 (0.04-0.15)",0.00238930641349243
"Pancreas","0.13 (0.08-0.18)",2.93347976102787e-07
"Skin","0.08 (0.03-0.12)",0.0032219902373029
