"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.02-0.12)",0.00809160960456942
"Brain","0.08 (0.03-0.12)",0.00292693944117707
"Cardiovascular","-0.02 (-0.07-0.03)",0.596170705119899
"Endocrine","0.08 (0.03-0.13)",0.0055051077648145
"Gastrointestinal","0.08 (0.03-0.12)",0.00292693944117707
"Immune","-0.01 (-0.05-0.04)",0.839831778866165
"Kidney_urinary","0.12 (0.07-0.18)",5.61578937958888e-05
"Liver","0.06 (0.01-0.10)",0.0436885155318597
"Lung","0.05 (-0.00-0.10)",0.105265995938709
"Muscle","-0.03 (-0.07-0.02)",0.305657438422077
"Nerve","0.02 (-0.03-0.06)",0.640692167494455
"Ovary","0.00 (-0.04-0.05)",0.936246226697895
"Pancreas","-0.01 (-0.05-0.03)",0.743303496270057
"Skin","0.05 (0.01-0.10)",0.0365896549770442
