"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.00 (-0.04-0.05)",0.899128350562979
"Brain","0.00 (-0.04-0.05)",0.903024419514215
"Cardiovascular","0.00 (-0.04-0.05)",0.898244774338585
"Endocrine","0.02 (-0.02-0.06)",0.350081445803005
"Gastrointestinal","-0.01 (-0.06-0.03)",0.64941310352398
"Immune","0.02 (-0.02-0.07)",0.356976358561048
"Kidney_urinary","0.06 (0.02-0.10)",0.014801818944495
"Liver","-0.03 (-0.07-0.01)",0.275360298033064
"Lung","-0.01 (-0.05-0.02)",0.560671294272141
"Muscle","0.02 (-0.02-0.06)",0.350081445803005
"Nerve","-0.03 (-0.07-0.01)",0.240272249899405
"Ovary","-0.01 (-0.05-0.03)",0.644400109254733
"Pancreas","0.04 (0.01-0.08)",0.0412710731450998
"Skin","-0.01 (-0.05-0.03)",0.721187844429615
