"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.05 (-0.10--0.00)",0.0585783477141435
"Brain","-0.09 (-0.14--0.04)",0.00122840135060129
"Cardiovascular","-0.11 (-0.16--0.06)",5.49508446300068e-05
"Endocrine","-0.13 (-0.20--0.07)",0.000147004097057078
"Gastrointestinal","-0.13 (-0.18--0.08)",2.95055090878606e-06
"Immune","-0.09 (-0.14--0.04)",0.0018077682533287
"Kidney_urinary","-0.16 (-0.22--0.11)",3.84963027764153e-08
"Liver","-0.17 (-0.21--0.12)",6.26056122327507e-11
"Lung","-0.08 (-0.13--0.04)",0.00122840135060129
"Muscle","-0.02 (-0.06-0.03)",0.50970305361665
"Nerve","-0.08 (-0.13--0.03)",0.00273878389938924
"Pancreas","-0.02 (-0.07-0.03)",0.478794449455509
"Prostate","-0.07 (-0.12--0.02)",0.0111272609048838
"Skin","-0.06 (-0.11--0.01)",0.0200755838672501
