"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.09 (0.04-0.14)",0.00190796344326805
"Brain","0.08 (0.04-0.13)",0.00171144673216799
"Cardiovascular","0.11 (0.06-0.16)",0.000116659652672367
"Endocrine","0.10 (0.05-0.15)",0.000687249616290676
"Gastrointestinal","0.06 (0.00-0.11)",0.0551604720945108
"Immune","0.07 (0.02-0.12)",0.0123108521229199
"Kidney_urinary","0.11 (0.06-0.16)",0.000152955461451432
"Liver","0.12 (0.06-0.17)",4.18353049133149e-05
"Lung","0.10 (0.06-0.15)",4.72191454151783e-05
"Muscle","0.08 (0.03-0.13)",0.00991394660657829
"Nerve","0.08 (0.03-0.13)",0.00421697396661036
"Pancreas","0.06 (0.01-0.11)",0.0234718448092766
"Prostate","0.08 (0.03-0.13)",0.00269616459920991
"Skin","0.06 (0.01-0.11)",0.0225822137656339
