"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.02 (-0.02-0.05)",0.373555013059571
"Brain","-0.02 (-0.05-0.01)",0.322322008901616
"Cardiovascular","-0.04 (-0.08--0.01)",0.0242686198548621
"Endocrine","-0.03 (-0.06-0.01)",0.150097059360408
"Gastrointestinal","-0.03 (-0.06-0.00)",0.0765066518091742
"Immune","-0.02 (-0.05-0.01)",0.259351993088938
"Kidney_urinary","-0.05 (-0.08--0.02)",0.00691731409771573
"Liver","-0.02 (-0.05-0.01)",0.250913155723447
"Lung","-0.02 (-0.05-0.02)",0.377867050337546
"Muscle","0.02 (-0.02-0.05)",0.365075558828313
"Nerve","-0.02 (-0.05-0.01)",0.326582299290667
"Ovary","-0.02 (-0.06-0.02)",0.333973579958457
"Pancreas","-0.01 (-0.04-0.02)",0.619108116371148
"Prostate","0.03 (-0.01-0.08)",0.195612288331893
"Skin","-0.00 (-0.03-0.03)",0.978864216128447
