"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.07 (-0.11--0.04)",9.7875124128523e-05
"Brain","0.02 (-0.01-0.06)",0.312502906621477
"Cardiovascular","-0.03 (-0.07-0.00)",0.102536633662695
"Endocrine","-0.08 (-0.11--0.05)",1.26267224337123e-05
"Gastrointestinal","-0.10 (-0.14--0.07)",9.4036191264729e-10
"Immune","0.02 (-0.01-0.06)",0.310661583379902
"Kidney_urinary","-0.01 (-0.05-0.03)",0.566412805957969
"Liver","0.02 (-0.02-0.06)",0.336187422410503
"Lung","-0.14 (-0.17--0.10)",1.61584874208144e-11
"Muscle","0.08 (0.05-0.11)",4.55272429737561e-06
"Nerve","-0.06 (-0.09--0.02)",0.00242657644910538
"Ovary","-0.11 (-0.16--0.06)",2.36719391741758e-05
"Pancreas","-0.05 (-0.09--0.02)",0.00526889128504674
"Prostate","-0.11 (-0.15--0.06)",2.25239356698943e-05
"Skin","-0.01 (-0.04-0.03)",0.804469266214462
