"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.19 (0.12-0.26)",7.40883218994678e-07
"Brain","0.14 (0.09-0.19)",1.14249800543381e-06
"Cardiovascular","0.16 (0.09-0.23)",3.14882458582631e-05
"Endocrine","0.14 (0.08-0.19)",1.2906564473613e-06
"Gastrointestinal","0.22 (0.16-0.29)",4.24939793418386e-10
"Immune","0.22 (0.15-0.28)",1.08981346531354e-10
"Kidney_urinary","0.14 (0.09-0.19)",2.19464836625168e-07
"Liver","0.21 (0.15-0.27)",3.1605010638349e-11
"Lung","0.17 (0.11-0.23)",3.02363322926251e-07
"Muscle","0.03 (-0.01-0.07)",0.132959031841929
"Nerve","0.20 (0.12-0.28)",1.3892673942482e-06
"Ovary","0.09 (0.04-0.14)",0.00175998017065291
"Pancreas","0.04 (-0.01-0.08)",0.180498077312119
"Prostate","0.08 (0.01-0.15)",0.0358675028493934
"Skin","0.19 (0.12-0.25)",1.81851562712723e-07
