"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.06 (-0.09--0.03)",0.000897798859876013
"Brain","-0.07 (-0.10--0.03)",0.000299192937107224
"Cardiovascular","-0.08 (-0.12--0.05)",6.93591117471734e-06
"Endocrine","-0.12 (-0.15--0.08)",5.42386306791324e-09
"Gastrointestinal","-0.12 (-0.15--0.09)",1.61584874208144e-11
"Immune","-0.06 (-0.10--0.03)",0.00050239652705168
"Kidney_urinary","-0.14 (-0.18--0.10)",3.91976655920964e-13
"Liver","-0.12 (-0.15--0.09)",3.81648644789289e-12
"Lung","-0.04 (-0.07--0.00)",0.0394949798016002
"Muscle","-0.00 (-0.03-0.03)",0.804469266214462
"Nerve","-0.07 (-0.11--0.04)",4.42662774956425e-05
"Ovary","-0.02 (-0.07-0.02)",0.348348646541875
"Pancreas","-0.04 (-0.07--0.00)",0.0646143871804546
"Prostate","-0.07 (-0.12--0.02)",0.00914025002901167
"Skin","-0.04 (-0.08--0.01)",0.0134227556010847
