"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.35 (-0.43--0.27)",9.80289096375927e-18
"Brain","-0.30 (-0.33--0.27)",2.34098098812199e-96
"Cardiovascular","-0.33 (-0.36--0.30)",1.98428256846281e-103
"Endocrine","-0.35 (-0.40--0.29)",2.60624523676927e-34
"Gastrointestinal","-0.29 (-0.32--0.26)",2.83199530132053e-84
"Immune","-0.34 (-0.38--0.31)",1.17774403279281e-98
"Kidney_urinary","-0.36 (-0.40--0.33)",1.24430835808036e-77
"Liver","-0.28 (-0.31--0.26)",4.0766449505706e-89
"Lung","-0.31 (-0.37--0.25)",1.54374946291864e-23
"Muscle","-0.23 (-0.26--0.19)",1.05332551257571e-31
"Nerve","-0.32 (-0.35--0.29)",1.13873937325329e-80
"Ovary","-0.33 (-0.41--0.25)",2.41654172057766e-14
"Pancreas","-0.29 (-0.33--0.26)",1.98685372711516e-70
"Prostate","-0.23 (-0.27--0.19)",4.63372291940568e-27
"Skin","-0.29 (-0.33--0.26)",5.30117401476012e-61
