"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.05 (0.01-0.08)",0.0129006438235687
"Brain","0.10 (0.07-0.13)",5.35257918691321e-08
"Cardiovascular","0.10 (0.06-0.13)",2.35458081008703e-07
"Endocrine","0.07 (0.04-0.10)",0.000163558829253427
"Gastrointestinal","0.08 (0.04-0.11)",1.4292923054754e-05
"Immune","0.10 (0.07-0.13)",3.22541702725393e-08
"Kidney_urinary","0.11 (0.07-0.14)",1.64896058293645e-08
"Liver","0.09 (0.05-0.12)",2.50068181816803e-06
"Lung","0.06 (0.03-0.09)",0.000760156507426004
"Muscle","0.06 (0.02-0.09)",0.00138090267722125
"Nerve","0.07 (0.04-0.11)",4.42662774956425e-05
"Ovary","0.06 (0.01-0.11)",0.0234736359340648
"Pancreas","0.04 (0.01-0.07)",0.0319191908937964
"Prostate","0.08 (0.03-0.13)",0.00199715896237771
"Skin","0.05 (0.01-0.08)",0.00855112244784081
