"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.02 (-0.01-0.04)",0.322322008901616
"Brain","0.00 (-0.02-0.03)",0.764070578937528
"Cardiovascular","0.04 (0.02-0.07)",0.0026792632554367
"Endocrine","0.03 (0.00-0.05)",0.0548939311841335
"Gastrointestinal","0.00 (-0.02-0.03)",0.839550092756199
"Immune","0.03 (0.00-0.06)",0.0515072914480423
"Kidney_urinary","0.04 (0.02-0.07)",0.00318958104606463
"Liver","-0.00 (-0.03-0.02)",0.858319990337298
"Lung","0.02 (-0.02-0.05)",0.374983441409331
"Muscle","0.05 (0.02-0.08)",0.00127553070481957
"Nerve","0.01 (-0.02-0.04)",0.630641836661501
"Ovary","0.03 (0.00-0.06)",0.0531274949345442
"Pancreas","0.02 (-0.00-0.05)",0.155189711099597
"Prostate","-0.03 (-0.07-0.01)",0.134601006415053
"Skin","0.00 (-0.02-0.02)",0.853696797117907
