"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.03 (0.01-0.05)",0.0289503063847179
"Brain","0.08 (0.05-0.11)",1.39472086263658e-06
"Cardiovascular","0.07 (0.03-0.10)",0.000348870466601701
"Endocrine","0.06 (0.03-0.09)",0.00122256910991313
"Gastrointestinal","0.07 (0.03-0.11)",0.000834064145583343
"Immune","0.08 (0.05-0.11)",8.52087367942963e-06
"Kidney_urinary","0.12 (0.08-0.16)",1.18515306130451e-09
"Liver","0.03 (-0.00-0.06)",0.07602713291876
"Lung","0.02 (-0.01-0.05)",0.252267487346741
"Muscle","0.04 (0.02-0.07)",0.000995063751880417
"Nerve","-0.01 (-0.04-0.02)",0.574023449735366
"Ovary","0.04 (0.00-0.07)",0.0640541594654583
"Pancreas","0.11 (0.08-0.14)",1.62522702445832e-09
"Prostate","-0.02 (-0.06-0.03)",0.518841726451323
"Skin","0.02 (-0.01-0.05)",0.23115914807088
