"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.07 (-0.12--0.01)",0.0521184618102538
"Brain","-0.01 (-0.07-0.05)",0.797307074770439
"Cardiovascular","-0.07 (-0.13--0.02)",0.0286115035694224
"Endocrine","-0.07 (-0.13--0.01)",0.0458947006661799
"Gastrointestinal","-0.07 (-0.12--0.01)",0.0547167440386753
"Immune","0.05 (-0.01-0.11)",0.126208246463387
"Kidney_urinary","0.00 (-0.05-0.06)",0.911899957785331
"Liver","-0.04 (-0.10-0.02)",0.294103450006792
"Lung","-0.06 (-0.12--0.01)",0.0570997421768556
"Muscle","0.04 (-0.02-0.10)",0.22287400148344
"Nerve","-0.06 (-0.12--0.00)",0.0669159445869253
"Ovary","-0.03 (-0.11-0.04)",0.489860993286018
"Pancreas","0.03 (-0.03-0.08)",0.493582200653078
"Prostate","-0.15 (-0.24--0.06)",0.002550921951506
"Skin","-0.01 (-0.07-0.05)",0.762622055435489
