"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.05 (-0.31-0.21)",0.771648271027125
"Brain","-0.21 (-0.46-0.04)",0.313808394157104
"Cardiovascular","-0.12 (-0.38-0.13)",0.418049356002213
"Endocrine","-0.16 (-0.41-0.09)",0.313808394157104
"Gastrointestinal","-0.16 (-0.41-0.08)",0.313808394157104
"Immune","-0.17 (-0.39-0.05)",0.313808394157104
"Kidney_urinary","-0.15 (-0.38-0.08)",0.313808394157104
"Liver","-0.50 (-0.78--0.22)",0.00647814834086008
"Lung","-0.12 (-0.36-0.11)",0.403882537056927
"Muscle","-0.16 (-0.37-0.06)",0.313808394157104
"Nerve","-0.39 (-0.65--0.12)",0.0300809503005899
"Ovary","-0.27 (-0.65-0.11)",0.313808394157104
"Pancreas","-0.10 (-0.33-0.12)",0.427674654905535
"Prostate","-0.04 (-0.45-0.38)",0.868498718939993
"Skin","-0.36 (-0.63--0.08)",0.0519164807051316
