"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.05 (0.01-0.09)",0.0111310561573969
"Brain","0.10 (0.07-0.14)",1.07515331671689e-07
"Cardiovascular","0.10 (0.07-0.14)",6.22991955796956e-08
"Endocrine","0.08 (0.05-0.12)",1.71870039967884e-05
"Gastrointestinal","0.09 (0.05-0.13)",2.15853419690413e-06
"Immune","0.12 (0.08-0.15)",1.02820188459882e-09
"Kidney_urinary","0.10 (0.07-0.14)",8.14671948548442e-08
"Liver","0.11 (0.07-0.14)",9.73548743672157e-09
"Lung","0.08 (0.04-0.12)",2.96081208086368e-05
"Muscle","0.08 (0.04-0.12)",2.59993261906159e-05
"Nerve","0.09 (0.06-0.13)",1.23065458303144e-06
"Ovary","0.05 (0.00-0.10)",0.0528587436891562
"Pancreas","0.05 (0.01-0.09)",0.00918911746801261
"Prostate","0.07 (0.01-0.13)",0.0267283276007456
"Skin","0.06 (0.02-0.09)",0.00245079577618102
