"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.01-0.12)",0.0391454153120269
"Brain","0.11 (0.06-0.17)",0.000310953050867164
"Cardiovascular","0.10 (0.05-0.16)",0.00119042294113145
"Endocrine","0.10 (0.05-0.16)",0.00126062766165784
"Gastrointestinal","0.12 (0.06-0.18)",0.00018296757094695
"Immune","0.15 (0.09-0.21)",1.4025352450133e-06
"Kidney_urinary","0.12 (0.06-0.18)",0.000144160812922757
"Liver","0.12 (0.06-0.17)",0.000233540522436041
"Lung","0.09 (0.03-0.14)",0.00846945461152349
"Muscle","0.11 (0.06-0.17)",0.000348900649492628
"Nerve","0.10 (0.04-0.15)",0.00261315884900651
"Ovary","0.09 (0.01-0.16)",0.0440198409047253
"Pancreas","0.10 (0.05-0.16)",0.00122555784510835
"Prostate","0.08 (-0.01-0.16)",0.140798789625232
"Skin","0.10 (0.04-0.16)",0.00159668201268697
