"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (0.01-0.12)",0.0580231562383897
"Brain","0.09 (0.03-0.15)",0.00461668951187702
"Cardiovascular","0.11 (0.05-0.16)",0.000709300423920481
"Endocrine","0.09 (0.03-0.15)",0.00461668951187702
"Gastrointestinal","0.12 (0.07-0.18)",8.06578224513875e-05
"Immune","0.10 (0.05-0.16)",0.00124027536726831
"Kidney_urinary","0.13 (0.07-0.18)",5.7866421587324e-05
"Liver","0.12 (0.07-0.18)",8.06578224513875e-05
"Lung","0.11 (0.05-0.16)",0.000940033373647256
"Muscle","0.03 (-0.03-0.08)",0.479695085378621
"Nerve","0.08 (0.02-0.14)",0.0139417666459131
"Ovary","0.10 (0.03-0.18)",0.0139417666459131
"Pancreas","0.10 (0.04-0.15)",0.00267934746018338
"Prostate","-0.03 (-0.12-0.06)",0.626192244980267
"Skin","0.07 (0.01-0.13)",0.0334048365854788
