"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.04-0.11)",0.00012447928682897
"Brain","0.11 (0.07-0.14)",1.59228740688329e-08
"Cardiovascular","0.18 (0.15-0.22)",2.87821970332851e-22
"Endocrine","0.12 (0.09-0.16)",1.19174730055092e-10
"Gastrointestinal","0.15 (0.11-0.18)",2.99662343937043e-15
"Immune","0.14 (0.11-0.18)",1.35082005025658e-14
"Kidney_urinary","0.19 (0.15-0.22)",2.58187867575349e-24
"Liver","0.16 (0.12-0.19)",6.28200638372592e-17
"Lung","0.14 (0.10-0.17)",1.74939737930979e-13
"Muscle","0.08 (0.04-0.12)",3.37887504512934e-05
"Nerve","0.10 (0.07-0.14)",5.51660745504561e-08
"Ovary","0.11 (0.06-0.16)",1.67671753147194e-05
"Pancreas","0.14 (0.10-0.17)",1.58241590067899e-13
"Prostate","0.09 (0.03-0.15)",0.00326267029724524
"Skin","0.10 (0.07-0.14)",8.63269731013555e-08
