"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.00 (-0.04-0.04)",0.967354561969906
"Brain","0.05 (0.01-0.09)",0.011872779348462
"Cardiovascular","0.01 (-0.03-0.05)",0.693273379218983
"Endocrine","0.04 (0.00-0.08)",0.0426690089354262
"Gastrointestinal","0.02 (-0.01-0.06)",0.243061046849807
"Immune","0.08 (0.05-0.12)",4.18109732078087e-05
"Kidney_urinary","0.08 (0.04-0.12)",7.15549881868665e-05
"Liver","0.00 (-0.03-0.04)",0.812589048085111
"Lung","-0.00 (-0.04-0.04)",0.872879811704712
"Muscle","0.05 (0.01-0.08)",0.0298912239723958
"Nerve","-0.01 (-0.05-0.03)",0.73057316339033
"Ovary","0.01 (-0.04-0.06)",0.693273379218983
"Pancreas","0.04 (0.00-0.08)",0.0532679823657179
"Prostate","-0.11 (-0.17--0.04)",0.002191427085874
"Skin","0.06 (0.02-0.10)",0.00310541130107971
