"Organ","OR (95% CI)","FDR"
"Adipose","1.30 (1.09-1.55)",0.00844469502233119
"Brain","1.31 (1.09-1.57)",0.00978115055482602
"Cardiovascular","1.33 (1.13-1.58)",0.00844469502233119
"Endocrine","1.22 (1.01-1.47)",0.0769725010956469
"Gastrointestinal","1.30 (1.10-1.54)",0.00844469502233119
"Immune","1.29 (1.10-1.52)",0.00844469502233119
"Kidney and Bladder","1.17 (0.96-1.42)",0.147795183992902
"Liver","1.18 (1.00-1.38)",0.0847973949386262
"Lung","1.15 (0.97-1.36)",0.147795183992902
"Muscle","1.12 (0.97-1.29)",0.147795183992902
"Nerve","1.29 (1.09-1.53)",0.00913626496421595
"Ovary","1.51 (1.17-1.95)",0.00844469502233119
"Pancreas","1.08 (0.90-1.30)",0.494464176386565
"Prostate","0.96 (0.80-1.15)",0.683786350756202
"Skin","1.00 (0.85-1.17)",0.961098081502903
