"Organ","OR (95% CI)","FDR"
"Adipose","1.18 (0.92-1.53)",0.263282138404332
"Brain","1.47 (1.18-1.83)",0.00295199500704157
"Cardiovascular","1.54 (1.20-1.96)",0.00295199500704157
"Endocrine","1.09 (0.84-1.40)",0.647453763057327
"Gastrointestinal","1.29 (0.97-1.71)",0.173617932185854
"Immune","1.24 (0.99-1.54)",0.150695473066597
"Kidney and Bladder","1.24 (0.95-1.61)",0.209570729684668
"Liver","1.64 (1.30-2.06)",0.000458986408576311
"Lung","1.08 (0.81-1.44)",0.678375071686185
"Muscle","1.25 (1.05-1.49)",0.0427625564385365
"Nerve","1.40 (1.07-1.83)",0.0427625564385365
"Ovary","1.07 (0.68-1.67)",0.769835721859496
"Pancreas","1.26 (0.94-1.68)",0.210971883158559
"Prostate","1.21 (0.93-1.58)",0.222610225798206
"Skin","0.94 (0.75-1.19)",0.678375071686185
