"Organ","OR (95% CI)","FDR"
"Adipose","1.62 (1.28-2.06)",0.000536549968577995
"Brain","1.68 (1.30-2.17)",0.000536549968577995
"Cardiovascular","1.57 (1.19-2.06)",0.0052730296069291
"Endocrine","1.39 (1.06-1.83)",0.0253689253389571
"Gastrointestinal","1.34 (1.04-1.73)",0.0318186324360094
"Immune","1.40 (1.06-1.85)",0.0253689253389571
"Kidney and Bladder","1.36 (1.01-1.82)",0.0470344665256583
"Liver","1.53 (1.17-2.01)",0.00664539264057544
"Lung","1.36 (0.99-1.88)",0.062726874569378
"Muscle","1.33 (1.12-1.58)",0.0052730296069291
"Nerve","1.58 (1.14-2.17)",0.0135179785538242
"Ovary","1.46 (0.90-2.39)",0.128185997260873
"Pancreas","1.50 (1.09-2.07)",0.0203919300923889
"Prostate","1.43 (1.09-1.89)",0.0199680177698413
"Skin","1.37 (1.08-1.74)",0.0199680177698413
