"Organ","OR (95% CI)","FDR"
"Adipose","1.21 (0.85-1.72)",0.565706797967879
"Brain","1.38 (1.02-1.88)",0.13126393730318
"Cardiovascular","0.89 (0.65-1.21)",0.567877590748524
"Endocrine","0.95 (0.71-1.26)",0.762120969597321
"Gastrointestinal","1.42 (1.12-1.79)",0.0254606362292458
"Immune","1.02 (0.76-1.37)",0.874821202324101
"Kidney and Bladder","1.07 (0.81-1.41)",0.762120969597321
"Liver","1.12 (0.85-1.48)",0.567877590748524
"Lung","1.34 (0.97-1.84)",0.214086638290981
"Muscle","0.78 (0.58-1.06)",0.260417953775876
"Nerve","0.89 (0.69-1.15)",0.567877590748524
"Ovary","NA (NA-NA)",NA
"Pancreas","1.17 (0.86-1.58)",0.565706797967879
"Prostate","1.44 (1.11-1.87)",0.0285636396126069
"Skin","1.56 (1.22-1.99)",0.00519323176274158
