"Organ","OR (95% CI)","FDR"
"Adipose","1.16 (0.77-1.74)",0.678915545913134
"Brain","1.41 (0.90-2.21)",0.455769235099435
"Cardiovascular","1.61 (0.99-2.62)",0.455769235099435
"Endocrine","1.01 (0.68-1.51)",0.963988828283132
"Gastrointestinal","1.48 (0.92-2.38)",0.455769235099435
"Immune","1.42 (0.92-2.21)",0.455769235099435
"Kidney and Bladder","1.35 (0.86-2.11)",0.455769235099435
"Liver","1.08 (0.74-1.58)",0.892672624676791
"Lung","1.30 (0.88-1.92)",0.455769235099435
"Muscle","0.96 (0.62-1.49)",0.963988828283132
"Nerve","1.21 (0.83-1.77)",0.567105956747577
"Ovary","0.99 (0.68-1.45)",0.963988828283132
"Pancreas","0.86 (0.57-1.31)",0.678915545913134
"Skin","1.25 (0.81-1.93)",0.567105956747577
