"Organ","OR (95% CI)","FDR"
"Adipose","1.45 (1.05-2.00)",0.032961223956496
"Brain","2.15 (1.39-3.33)",0.00169978303523738
"Cardiovascular","2.79 (1.74-4.48)",0.000316709650741847
"Endocrine","2.01 (1.34-2.99)",0.00169978303523738
"Gastrointestinal","1.61 (1.13-2.30)",0.0135152703000279
"Immune","2.45 (1.55-3.86)",0.000669058424692055
"Kidney and Bladder","2.23 (1.48-3.37)",0.000669058424692055
"Liver","1.82 (1.24-2.67)",0.00504658146358404
"Lung","1.59 (1.10-2.30)",0.0213331693199875
"Muscle","1.34 (0.94-1.89)",0.120482758598438
"Nerve","2.10 (1.37-3.22)",0.00169978303523738
"Ovary","2.78 (1.12-6.93)",0.0347856552906582
"Pancreas","1.70 (1.19-2.45)",0.00739192301317947
"Prostate","1.03 (0.65-1.63)",0.915120693930062
"Skin","1.27 (0.92-1.75)",0.156961358770965
