"Organ","OR (95% CI)","FDR"
"Adipose","1.44 (0.99-2.09)",0.388529058088224
"Brain","1.27 (0.88-1.82)",0.44768501570652
"Cardiovascular","1.30 (0.91-1.86)",0.44768501570652
"Endocrine","1.10 (0.79-1.54)",0.727738308816754
"Gastrointestinal","1.21 (0.85-1.71)",0.44768501570652
"Immune","1.10 (0.82-1.47)",0.727738308816754
"Kidney and Bladder","1.03 (0.74-1.45)",0.914548857236218
"Liver","1.21 (0.88-1.68)",0.44768501570652
"Lung","1.39 (0.96-2.00)",0.388529058088224
"Muscle","1.21 (0.86-1.71)",0.44768501570652
"Nerve","1.42 (0.98-2.05)",0.388529058088224
"Ovary","0.89 (0.54-1.46)",0.727738308816754
"Pancreas","1.25 (0.87-1.80)",0.44768501570652
"Prostate","1.41 (0.78-2.57)",0.44768501570652
"Skin","1.01 (0.74-1.38)",0.952574007669658
