"Organ","OR (95% CI)","FDR"
"Adipose","1.65 (1.17-2.34)",0.00959376567277195
"Brain","1.72 (1.22-2.41)",0.00578985299501358
"Cardiovascular","1.90 (1.31-2.77)",0.00425299390902804
"Endocrine","1.69 (1.20-2.36)",0.00591926698417632
"Gastrointestinal","1.47 (1.07-2.01)",0.0213075410434959
"Immune","1.84 (1.29-2.64)",0.00425299390902804
"Kidney and Bladder","1.78 (1.25-2.54)",0.00537223701284078
"Liver","1.49 (1.07-2.06)",0.0213075410434959
"Lung","1.54 (1.12-2.12)",0.0121705562063962
"Muscle","1.44 (1.06-1.94)",0.0213075410434959
"Nerve","1.65 (1.16-2.34)",0.00959376567277195
"Ovary","2.23 (1.17-4.26)",0.0213075410434959
"Pancreas","2.01 (1.39-2.90)",0.00273927464351448
"Prostate","1.33 (0.81-2.16)",0.255401932547998
"Skin","1.40 (0.99-1.97)",0.0596682578799184
