"Organ","OR (95% CI)","FDR"
"Adipose","0.79 (0.47-1.35)",0.588360703967081
"Brain","1.25 (0.73-2.12)",0.588360703967081
"Cardiovascular","0.66 (0.37-1.19)",0.46326945193408
"Endocrine","0.65 (0.34-1.25)",0.46326945193408
"Gastrointestinal","0.98 (0.54-1.77)",0.938573472056673
"Immune","0.71 (0.42-1.23)",0.46326945193408
"Kidney and Bladder","0.64 (0.33-1.24)",0.46326945193408
"Liver","0.86 (0.51-1.46)",0.680819925858368
"Lung","0.76 (0.44-1.33)",0.588360703967081
"Muscle","0.69 (0.37-1.26)",0.46326945193408
"Nerve","0.67 (0.35-1.29)",0.46326945193408
"Pancreas","0.67 (0.37-1.22)",0.46326945193408
"Prostate","1.17 (0.68-1.99)",0.680819925858368
"Skin","1.11 (0.66-1.86)",0.746078164068375
