"Organ","HR (95% CI)","FDR"
"Adipose","1.15 (1.08-1.23)",3.92243365744681e-05
"Brain","1.19 (1.11-1.27)",5.94880957961629e-07
"Cardiovascular","1.32 (1.24-1.40)",1.89526092622431e-16
"Endocrine","1.15 (1.07-1.23)",0.000110100641162055
"Gastrointestinal","1.27 (1.19-1.36)",1.31797498647478e-12
"Immune","1.21 (1.13-1.28)",1.06531583277676e-08
"Kidney and Bladder","1.17 (1.10-1.25)",3.27050482986727e-06
"Liver","1.29 (1.20-1.38)",9.93773653941986e-13
"Lung","1.14 (1.06-1.22)",0.000214377068120913
"Muscle","1.12 (1.05-1.20)",0.000518846623734634
"Nerve","1.24 (1.16-1.32)",4.66686944469541e-10
"Ovary","1.17 (1.04-1.32)",0.0104674165706593
"Pancreas","1.16 (1.08-1.24)",4.21077961177626e-05
"Prostate","1.14 (1.05-1.23)",0.00181769558433615
"Skin","1.09 (1.03-1.17)",0.00513351611189606
