"Organ","HR (95% CI)","FDR"
"Adipose","0.97 (0.82-1.16)",0.867434236679591
"Brain","1.07 (0.92-1.23)",0.825913840747077
"Cardiovascular","0.96 (0.82-1.13)",0.825913840747077
"Endocrine","1.05 (0.89-1.24)",0.825913840747077
"Gastrointestinal","1.05 (0.88-1.26)",0.825913840747077
"Immune","1.08 (0.93-1.25)",0.825913840747077
"Kidney and Bladder","1.12 (0.96-1.30)",0.825913840747077
"Liver","1.04 (0.87-1.24)",0.825913840747077
"Lung","1.01 (0.85-1.20)",0.913706428025655
"Muscle","1.07 (0.90-1.26)",0.825913840747077
"Nerve","1.07 (0.91-1.27)",0.825913840747077
"Ovary","0.98 (0.85-1.14)",0.867434236679591
"Pancreas","1.05 (0.90-1.22)",0.825913840747077
"Skin","1.13 (0.96-1.34)",0.825913840747077
