"Organ","HR (95% CI)","FDR"
"Adipose","1.22 (1.03-1.44)",0.0367517162544918
"Brain","1.29 (1.08-1.54)",0.0114927592190036
"Cardiovascular","1.15 (0.95-1.40)",0.183466445857102
"Endocrine","1.29 (1.09-1.53)",0.00815966991060636
"Gastrointestinal","1.36 (1.12-1.65)",0.007737418970498
"Immune","1.45 (1.23-1.70)",9.46976218914283e-05
"Kidney and Bladder","1.30 (1.10-1.53)",0.007737418970498
"Liver","1.32 (1.06-1.64)",0.0258534874886365
"Lung","1.22 (1.00-1.48)",0.0561254491785098
"Muscle","1.19 (1.06-1.35)",0.00815966991060636
"Nerve","1.23 (1.02-1.48)",0.0453217909195752
"Ovary","1.03 (0.79-1.35)",0.815373358499035
"Pancreas","1.24 (1.02-1.50)",0.0431225889675542
"Prostate","1.41 (1.14-1.74)",0.007737418970498
"Skin","1.15 (0.93-1.42)",0.205796395457933
