"Organ","HR (95% CI)","FDR"
"Adipose","1.12 (1.02-1.22)",0.0167871442886799
"Brain","1.43 (1.32-1.55)",2.75587783306708e-16
"Cardiovascular","1.23 (1.13-1.34)",7.85686706431487e-06
"Endocrine","1.23 (1.13-1.34)",6.65199336488385e-06
"Gastrointestinal","1.23 (1.13-1.34)",6.65199336488385e-06
"Immune","1.20 (1.10-1.30)",4.48010647310128e-05
"Kidney and Bladder","1.23 (1.13-1.33)",6.65199336488385e-06
"Liver","1.24 (1.14-1.36)",6.65199336488385e-06
"Lung","1.11 (1.02-1.21)",0.0171404670484635
"Muscle","1.09 (1.02-1.17)",0.0167871442886799
"Nerve","1.21 (1.11-1.32)",2.03312078727389e-05
"Ovary","1.17 (1.03-1.32)",0.0167871442886799
"Pancreas","1.14 (1.04-1.24)",0.00469214544811068
"Prostate","1.05 (0.93-1.18)",0.415594474720699
"Skin","1.12 (1.03-1.22)",0.0164923911975375
