"Organ","HR (95% CI)","FDR"
"Adipose","1.07 (0.98-1.17)",0.147361534833503
"Brain","1.32 (1.22-1.43)",5.87248132136889e-12
"Cardiovascular","1.43 (1.32-1.55)",4.15840901221007e-17
"Endocrine","1.37 (1.25-1.49)",5.87248132136889e-12
"Gastrointestinal","1.28 (1.18-1.39)",5.62003009368109e-09
"Immune","1.35 (1.26-1.45)",3.42062849945053e-16
"Kidney and Bladder","1.57 (1.46-1.70)",2.47744969640792e-30
"Liver","1.34 (1.24-1.46)",8.67727794626699e-12
"Lung","1.18 (1.08-1.28)",0.00031852509543061
"Muscle","1.14 (1.06-1.23)",0.000674329846973277
"Nerve","1.13 (1.03-1.24)",0.00863927684870318
"Ovary","1.20 (1.05-1.39)",0.0108069485944463
"Pancreas","1.23 (1.13-1.34)",5.04440491419455e-06
"Prostate","1.08 (0.96-1.21)",0.214199552532233
"Skin","1.27 (1.17-1.39)",7.09039723585926e-08
