"Organ","HR (95% CI)","FDR"
"Adipose","1.31 (1.21-1.41)",7.889007811073e-12
"Brain","1.40 (1.30-1.51)",1.44541966379117e-18
"Cardiovascular","1.58 (1.47-1.70)",1.24148102928222e-34
"Endocrine","1.44 (1.35-1.55)",2.44545319572393e-24
"Gastrointestinal","1.45 (1.35-1.56)",2.44545319572393e-24
"Immune","1.43 (1.34-1.53)",1.054386201944e-24
"Kidney and Bladder","1.51 (1.42-1.61)",8.0248969330354e-35
"Liver","1.51 (1.40-1.63)",4.15023577198943e-25
"Lung","1.33 (1.24-1.43)",1.08764331418432e-14
"Muscle","1.20 (1.10-1.30)",3.95142396404445e-05
"Nerve","1.42 (1.32-1.53)",9.74981686984759e-20
"Ovary","1.29 (1.15-1.45)",1.41366261391624e-05
"Pancreas","1.27 (1.17-1.36)",1.81328421835964e-09
"Prostate","1.14 (1.04-1.25)",0.0057702491960661
"Skin","1.25 (1.15-1.34)",2.29005547760415e-08
