"Organ","HR (95% CI)","FDR"
"Adipose","1.56 (1.20-2.04)",0.00189723510960602
"Brain","1.49 (1.22-1.82)",0.000246287586756817
"Cardiovascular","1.43 (1.16-1.75)",0.00153475484427022
"Endocrine","1.73 (1.41-2.11)",8.45619883961505e-07
"Gastrointestinal","1.97 (1.64-2.37)",7.28913139676329e-12
"Immune","1.44 (1.20-1.73)",0.000246287586756817
"Kidney and Bladder","1.62 (1.33-1.96)",5.80401962760047e-06
"Liver","1.52 (1.14-2.02)",0.00683396640976025
"Lung","1.53 (1.22-1.91)",0.000485481947967022
"Muscle","1.02 (0.78-1.33)",0.897709170411043
"Nerve","1.34 (1.01-1.79)",0.0612133739051891
"Ovary","1.17 (0.78-1.74)",0.523280228251809
"Pancreas","1.37 (1.06-1.77)",0.022977309329226
"Prostate","0.93 (0.57-1.52)",0.827412489958761
"Skin","1.20 (0.95-1.51)",0.162697837572303
