"Organ","HR (95% CI)","FDR"
"Adipose","1.22 (1.02-1.47)",0.161439554646239
"Brain","1.06 (0.89-1.26)",0.57051405772273
"Cardiovascular","1.16 (0.97-1.39)",0.248679835055232
"Endocrine","1.25 (1.05-1.49)",0.161439554646239
"Gastrointestinal","0.95 (0.79-1.15)",0.618172675525292
"Immune","1.06 (0.89-1.27)",0.57051405772273
"Kidney and Bladder","1.15 (0.96-1.37)",0.266572046863576
"Liver","1.12 (0.93-1.35)",0.404443011785894
"Lung","1.09 (0.92-1.30)",0.487029543171503
"Muscle","1.13 (1.00-1.29)",0.174606644555238
"Nerve","1.06 (0.89-1.26)",0.57051405772273
"Ovary","1.21 (0.88-1.67)",0.404443011785894
"Pancreas","0.93 (0.79-1.11)",0.57051405772273
"Prostate","0.79 (0.62-1.00)",0.174606644555238
"Skin","1.23 (1.02-1.48)",0.161439554646239
