"Organ","HR (95% CI)","FDR"
"Adipose","0.99 (0.88-1.13)",0.916859062362758
"Brain","0.92 (0.79-1.08)",0.657749426883707
"Cardiovascular","0.96 (0.83-1.11)",0.721609739810333
"Endocrine","0.95 (0.81-1.11)",0.691728904932194
"Gastrointestinal","1.06 (0.92-1.22)",0.657749426883707
"Immune","0.90 (0.79-1.02)",0.657749426883707
"Kidney and Bladder","0.96 (0.83-1.11)",0.702424884867993
"Liver","0.93 (0.80-1.07)",0.657749426883707
"Lung","0.99 (0.87-1.13)",0.916859062362758
"Muscle","0.87 (0.75-1.00)",0.612596012114284
"Nerve","0.93 (0.81-1.07)",0.657749426883707
"Pancreas","0.92 (0.80-1.05)",0.657749426883707
"Prostate","1.05 (0.93-1.19)",0.657749426883707
"Skin","0.94 (0.83-1.07)",0.657749426883707
