"Organ","HR (95% CI)","FDR"
"Adipose","1.12 (0.98-1.28)",0.119950969029644
"Brain","1.22 (1.06-1.40)",0.0152742845979804
"Cardiovascular","1.32 (1.14-1.53)",0.00203942794494679
"Endocrine","1.15 (1.00-1.32)",0.0967243861610351
"Gastrointestinal","1.28 (1.12-1.47)",0.00203942794494679
"Immune","1.20 (1.05-1.37)",0.0152742845979804
"Kidney and Bladder","1.20 (1.04-1.38)",0.0253494831185221
"Liver","1.28 (1.11-1.46)",0.00203942794494679
"Lung","1.12 (0.99-1.28)",0.112781663170451
"Muscle","1.14 (1.01-1.29)",0.0703740987139476
"Nerve","1.12 (0.98-1.28)",0.128442690009659
"Ovary","0.98 (0.82-1.17)",0.806284318478627
"Pancreas","1.13 (0.98-1.29)",0.114111536120056
"Prostate","1.45 (1.18-1.79)",0.00203942794494679
"Skin","1.03 (0.90-1.19)",0.713022692918852
