"Organ","HR (95% CI)","FDR"
"Adipose","1.04 (0.89-1.21)",0.649475954992324
"Brain","1.19 (1.01-1.41)",0.092034760158371
"Cardiovascular","1.25 (1.06-1.48)",0.0458864700494662
"Endocrine","1.18 (1.00-1.38)",0.105808970189924
"Gastrointestinal","1.19 (1.01-1.39)",0.092034760158371
"Immune","1.15 (0.98-1.34)",0.15387057061121
"Kidney and Bladder","1.20 (1.02-1.41)",0.092034760158371
"Liver","1.28 (1.09-1.49)",0.0169607145040452
"Lung","1.13 (0.97-1.31)",0.189086406601245
"Muscle","1.05 (0.90-1.23)",0.645461449032746
"Nerve","1.06 (0.91-1.24)",0.630263991908691
"Ovary","1.07 (0.83-1.37)",0.649475954992324
"Pancreas","1.12 (0.96-1.31)",0.220264255318646
"Prostate","1.48 (1.17-1.88)",0.0169607145040452
"Skin","1.04 (0.88-1.23)",0.667809444097475
