"Organ","HR (95% CI)","FDR"
"Adipose","0.84 (0.59-1.21)",0.946871511841257
"Brain","1.11 (0.76-1.61)",0.946871511841257
"Cardiovascular","0.78 (0.52-1.17)",0.946871511841257
"Endocrine","0.87 (0.60-1.24)",0.946871511841257
"Gastrointestinal","1.04 (0.72-1.51)",0.946871511841257
"Immune","1.06 (0.74-1.53)",0.946871511841257
"Kidney and Bladder","0.95 (0.65-1.39)",0.946871511841257
"Liver","1.13 (0.78-1.62)",0.946871511841257
"Lung","0.93 (0.64-1.35)",0.946871511841257
"Muscle","1.02 (0.72-1.46)",0.946871511841257
"Nerve","0.80 (0.56-1.16)",0.946871511841257
"Ovary","1.12 (0.78-1.60)",0.946871511841257
"Pancreas","0.94 (0.66-1.33)",0.946871511841257
"Skin","0.99 (0.69-1.41)",0.946871511841257
