"Organ","HR (95% CI)","FDR"
"Adipose","0.83 (0.50-1.36)",0.919872129420047
"Brain","1.30 (0.75-2.25)",0.919872129420047
"Cardiovascular","0.71 (0.41-1.22)",0.919872129420047
"Endocrine","0.86 (0.53-1.40)",0.919872129420047
"Gastrointestinal","1.15 (0.70-1.89)",0.919872129420047
"Immune","1.30 (0.78-2.16)",0.919872129420047
"Kidney and Bladder","1.02 (0.59-1.75)",0.947966507502146
"Liver","0.94 (0.63-1.39)",0.936706011813089
"Lung","1.06 (0.66-1.69)",0.936706011813089
"Muscle","1.12 (0.71-1.74)",0.919872129420047
"Nerve","1.04 (0.64-1.69)",0.936706011813089
"Ovary","1.11 (0.70-1.76)",0.919872129420047
"Pancreas","0.85 (0.54-1.34)",0.919872129420047
"Skin","1.13 (0.76-1.69)",0.919872129420047
