"Organ","HR (95% CI)","FDR"
"Adipose","1.12 (0.63-1.98)",0.97716581320876
"Brain","0.99 (0.55-1.78)",0.97716581320876
"Cardiovascular","1.22 (0.63-2.37)",0.97716581320876
"Endocrine","0.96 (0.56-1.65)",0.97716581320876
"Gastrointestinal","0.91 (0.48-1.71)",0.97716581320876
"Immune","1.04 (0.57-1.90)",0.97716581320876
"Kidney and Bladder","0.97 (0.58-1.63)",0.97716581320876
"Liver","2.12 (0.95-4.74)",0.753984581629306
"Lung","0.73 (0.36-1.49)",0.97716581320876
"Muscle","0.89 (0.47-1.68)",0.97716581320876
"Nerve","0.60 (0.32-1.12)",0.753984581629306
"Ovary","1.18 (0.68-2.05)",0.97716581320876
"Pancreas","1.02 (0.57-1.83)",0.97716581320876
"Skin","0.73 (0.37-1.41)",0.97716581320876
