"Organ","HR (95% CI)","FDR"
"Adipose","1.01 (0.77-1.34)",0.980016559196343
"Brain","1.21 (0.92-1.58)",0.479939635634992
"Cardiovascular","0.99 (0.74-1.33)",0.980016559196343
"Endocrine","1.17 (0.88-1.56)",0.479939635634992
"Gastrointestinal","1.35 (1.04-1.76)",0.336598252920219
"Immune","1.19 (0.93-1.52)",0.479939635634992
"Kidney and Bladder","1.13 (0.85-1.51)",0.556026278141683
"Liver","1.18 (0.88-1.57)",0.479939635634992
"Lung","1.00 (0.77-1.31)",0.980016559196343
"Muscle","0.99 (0.78-1.27)",0.980016559196343
"Nerve","1.21 (0.91-1.61)",0.479939635634992
"Ovary","1.32 (0.92-1.90)",0.479939635634992
"Pancreas","0.86 (0.67-1.10)",0.479939635634992
"Prostate","0.75 (0.46-1.22)",0.479939635634992
"Skin","0.88 (0.67-1.15)",0.51826884476067
