"Organ","HR (95% CI)","FDR"
"Adipose","1.15 (0.96-1.38)",0.177151980259329
"Brain","1.29 (1.08-1.55)",0.0413740785449104
"Cardiovascular","1.18 (0.96-1.44)",0.177151980259329
"Endocrine","1.21 (1.00-1.47)",0.154996602461775
"Gastrointestinal","1.10 (0.92-1.32)",0.364780208851233
"Immune","1.18 (0.98-1.43)",0.177151980259329
"Kidney and Bladder","1.18 (0.97-1.44)",0.177151980259329
"Liver","1.29 (1.06-1.56)",0.0493501332762727
"Lung","1.15 (0.96-1.37)",0.177151980259329
"Muscle","1.14 (0.96-1.36)",0.177151980259329
"Nerve","1.34 (1.10-1.63)",0.0413740785449104
"Ovary","1.25 (0.95-1.63)",0.177151980259329
"Pancreas","1.24 (1.03-1.48)",0.0858569754647086
"Prostate","1.01 (0.73-1.39)",0.961629686036198
"Skin","0.97 (0.81-1.16)",0.780314137429611
