"Organ","HR (95% CI)","FDR"
"Adipose","1.07 (0.87-1.32)",0.709222086933646
"Brain","1.24 (1.00-1.54)",0.176752815065123
"Cardiovascular","1.14 (0.89-1.46)",0.594480804695627
"Endocrine","1.13 (0.90-1.42)",0.594480804695627
"Gastrointestinal","1.03 (0.83-1.28)",0.841134859016304
"Immune","1.22 (0.97-1.53)",0.229181157054796
"Kidney and Bladder","1.11 (0.88-1.40)",0.634190863692172
"Liver","1.23 (0.99-1.53)",0.190373559216805
"Lung","1.05 (0.86-1.29)",0.711308069996635
"Muscle","1.29 (1.01-1.66)",0.176752815065123
"Nerve","1.50 (1.17-1.91)",0.0200873000527123
"Ovary","1.08 (0.82-1.43)",0.711308069996635
"Pancreas","1.32 (1.04-1.66)",0.150449353105258
"Prostate","1.02 (0.73-1.43)",0.896346912308888
"Skin","0.93 (0.75-1.16)",0.709222086933646
