"Organ","HR (95% CI)","FDR"
"Adipose","0.90 (0.60-1.36)",0.62708435121952
"Brain","1.64 (1.14-2.35)",0.0562938129894395
"Cardiovascular","1.94 (1.23-3.06)",0.0562938129894395
"Endocrine","1.16 (0.77-1.74)",0.539903452864816
"Gastrointestinal","1.43 (1.01-2.02)",0.129255384550794
"Immune","1.46 (1.07-2.01)",0.0906694626346819
"Kidney and Bladder","1.66 (1.07-2.59)",0.0913850890559499
"Liver","1.40 (0.95-2.05)",0.220169937220044
"Lung","1.29 (0.89-1.89)",0.335098461722214
"Muscle","1.23 (0.89-1.68)",0.335098461722214
"Nerve","1.18 (0.81-1.72)",0.487844566366975
"Ovary","0.73 (0.39-1.37)",0.451087083317015
"Pancreas","1.22 (0.89-1.68)",0.335098461722214
"Prostate","0.86 (0.49-1.50)",0.62708435121952
"Skin","1.25 (0.87-1.79)",0.335098461722214
