"Organ","HR (95% CI)","FDR"
"Adipose","1.11 (0.92-1.34)",0.810909911041653
"Brain","1.11 (0.91-1.37)",0.810909911041653
"Cardiovascular","1.19 (0.96-1.48)",0.592955382812668
"Endocrine","0.99 (0.83-1.19)",0.998589748781057
"Gastrointestinal","1.05 (0.87-1.28)",0.810909911041653
"Immune","1.32 (1.07-1.62)",0.138692594595715
"Kidney and Bladder","1.00 (0.83-1.21)",0.998589748781057
"Liver","1.08 (0.90-1.31)",0.810909911041653
"Lung","1.05 (0.87-1.27)",0.810909911041653
"Muscle","1.00 (0.81-1.24)",0.998589748781057
"Nerve","1.02 (0.83-1.26)",0.998589748781057
"Ovary","0.90 (0.69-1.17)",0.810909911041653
"Pancreas","0.95 (0.79-1.14)",0.810909911041653
"Prostate","1.10 (0.82-1.48)",0.810909911041653
"Skin","0.83 (0.67-1.02)",0.592955382812668
