"Organ","HR (95% CI)","FDR"
"Adipose","1.15 (0.86-1.55)",0.738703685122179
"Brain","1.34 (0.99-1.81)",0.680007392997522
"Cardiovascular","1.31 (0.94-1.84)",0.680007392997522
"Endocrine","1.05 (0.77-1.43)",0.973085261020611
"Gastrointestinal","1.15 (0.87-1.53)",0.738703685122179
"Immune","0.90 (0.70-1.16)",0.738703685122179
"Kidney and Bladder","0.99 (0.72-1.36)",0.978800019236443
"Liver","1.00 (0.71-1.39)",0.978800019236443
"Lung","1.18 (0.88-1.60)",0.738703685122179
"Muscle","1.24 (0.93-1.65)",0.680007392997522
"Nerve","1.18 (0.86-1.60)",0.738703685122179
"Ovary","1.08 (0.68-1.73)",0.973085261020611
"Pancreas","1.01 (0.75-1.35)",0.978800019236443
"Prostate","0.84 (0.53-1.32)",0.738703685122179
"Skin","0.92 (0.67-1.25)",0.865261112704422
