"Organ","HR (95% CI)","FDR"
"Adipose","1.12 (0.94-1.33)",0.200432145001607
"Brain","1.34 (1.12-1.60)",0.00544020676958915
"Cardiovascular","1.54 (1.26-1.90)",0.000521501628957173
"Endocrine","1.47 (1.21-1.79)",0.000817264118598031
"Gastrointestinal","1.29 (1.08-1.54)",0.0108559114858053
"Immune","1.33 (1.10-1.59)",0.00644457858004946
"Kidney and Bladder","1.45 (1.20-1.77)",0.000817264118598031
"Liver","1.32 (1.10-1.58)",0.00644457858004946
"Lung","1.25 (1.05-1.48)",0.0167292904553698
"Muscle","1.32 (1.09-1.60)",0.0108559114858053
"Nerve","1.23 (1.03-1.47)",0.0298201283619417
"Ovary","1.21 (0.90-1.62)",0.200432145001607
"Pancreas","1.24 (1.03-1.49)",0.0298201283619417
"Prostate","1.27 (0.98-1.63)",0.078811612015664
"Skin","1.24 (1.03-1.49)",0.0298201283619417
