"Organ","HR (95% CI)","FDR"
"Adipose","1.21 (0.91-1.60)",0.254233491491074
"Brain","1.24 (0.95-1.62)",0.191848366453545
"Cardiovascular","1.58 (1.16-2.16)",0.0116957380196427
"Endocrine","1.51 (1.11-2.06)",0.0224321259648221
"Gastrointestinal","1.73 (1.29-2.32)",0.00174139748230187
"Immune","1.77 (1.31-2.39)",0.00174139748230187
"Kidney and Bladder","1.75 (1.28-2.40)",0.00237847174469664
"Liver","1.63 (1.18-2.25)",0.0107102154973786
"Lung","1.49 (1.10-2.02)",0.0224321259648221
"Muscle","1.02 (0.82-1.27)",0.875258361980523
"Nerve","1.39 (1.02-1.88)",0.0638696495317169
"Ovary","1.19 (0.79-1.79)",0.426875775474066
"Pancreas","1.15 (0.88-1.50)",0.341636958920266
"Prostate","1.27 (0.81-1.99)",0.341636958920266
"Skin","1.21 (0.91-1.59)",0.254233491491074
