"Organ","HR (95% CI)","FDR"
"Adipose","1.40 (1.26-1.55)",8.23683176572551e-10
"Brain","1.54 (1.39-1.71)",4.27293440738717e-16
"Cardiovascular","1.86 (1.65-2.09)",2.8041578912778e-23
"Endocrine","1.62 (1.45-1.82)",2.63040765786775e-16
"Gastrointestinal","1.71 (1.54-1.91)",1.04861527122004e-21
"Immune","1.51 (1.36-1.67)",3.95120754635191e-15
"Kidney and Bladder","1.75 (1.56-1.96)",9.14326440142914e-21
"Liver","1.72 (1.54-1.92)",9.57155318184005e-22
"Lung","1.50 (1.35-1.67)",3.76562577072853e-14
"Muscle","1.25 (1.13-1.39)",2.36688324309961e-05
"Nerve","1.58 (1.42-1.76)",2.17340654160636e-16
"Ovary","1.50 (1.29-1.74)",1.30790803506614e-07
"Pancreas","1.32 (1.20-1.45)",2.05039375821122e-08
"Prostate","1.27 (1.09-1.47)",0.00197919209630397
"Skin","1.36 (1.23-1.50)",3.1571314672182e-09
