"Organ","HR (95% CI)","FDR"
"Adipose","1.30 (1.15-1.47)",4.56387351796727e-05
"Brain","1.45 (1.29-1.64)",2.86504554581509e-09
"Cardiovascular","1.73 (1.51-1.98)",2.60681021070757e-14
"Endocrine","1.53 (1.34-1.75)",1.09975301709204e-09
"Gastrointestinal","1.63 (1.43-1.85)",5.01537720829439e-13
"Immune","1.42 (1.26-1.60)",1.4103396932073e-08
"Kidney and Bladder","1.65 (1.45-1.89)",6.20056745670075e-13
"Liver","1.67 (1.47-1.89)",2.2678364415915e-14
"Lung","1.43 (1.26-1.61)",1.74616626897753e-08
"Muscle","1.21 (1.07-1.36)",0.00187957459300792
"Nerve","1.49 (1.32-1.69)",8.9743384007664e-10
"Ovary","1.42 (1.19-1.69)",0.000108285554686553
"Pancreas","1.30 (1.17-1.46)",5.07796168762379e-06
"Prostate","1.28 (1.07-1.52)",0.00639868262735407
"Skin","1.27 (1.13-1.42)",6.4415719510062e-05
