"Organ","HR (95% CI)","FDR"
"Adipose","1.94 (1.01-3.76)",0.128075426292753
"Brain","1.16 (0.67-2.00)",0.732686165529989
"Cardiovascular","2.41 (1.05-5.50)",0.128075426292753
"Endocrine","1.86 (0.98-3.53)",0.128075426292753
"Gastrointestinal","1.13 (0.63-2.00)",0.732686165529989
"Immune","1.44 (0.75-2.78)",0.404810030047307
"Kidney and Bladder","2.00 (1.00-4.03)",0.128075426292753
"Liver","2.03 (0.98-4.20)",0.128075426292753
"Lung","2.00 (1.03-3.90)",0.128075426292753
"Muscle","1.15 (0.63-2.10)",0.732686165529989
"Nerve","1.84 (0.95-3.58)",0.13447746959163
"Ovary","2.60 (0.96-7.06)",0.128075426292753
"Pancreas","0.61 (0.28-1.31)",0.344709509193007
"Prostate","1.06 (0.26-4.33)",0.935762500963012
"Skin","1.25 (0.73-2.14)",0.555238012279328
