"Organ","HR (95% CI)","FDR"
"Adipose","1.01 (0.75-1.35)",0.988237618442804
"Brain","0.84 (0.65-1.10)",0.711573642463402
"Cardiovascular","1.06 (0.80-1.39)",0.973978028875973
"Endocrine","0.81 (0.59-1.10)",0.711573642463402
"Gastrointestinal","0.98 (0.77-1.26)",0.988237618442804
"Immune","0.76 (0.58-1.00)",0.683081987034624
"Kidney and Bladder","0.91 (0.69-1.20)",0.867702842947373
"Liver","0.93 (0.71-1.21)",0.917253787229926
"Lung","0.90 (0.68-1.18)",0.867702842947373
"Muscle","0.87 (0.67-1.14)",0.766028773012704
"Nerve","1.01 (0.75-1.36)",0.988237618442804
"Pancreas","0.86 (0.65-1.13)",0.766028773012704
"Prostate","0.75 (0.53-1.05)",0.683081987034624
"Skin","1.00 (0.76-1.31)",0.988237618442804
